label,review
Positive,"Yes I'm aware that my thumbs up is never going to be seen by anyone. There is literally thousands of them. But what I'm NOT seeing is people actually talking about the game. At least at time of writing. Most people are talking about how good it looks, or how well it plays. Or vice versa. But no one talking about what the game is like. Or how it feels to play it. Is it worth my fricken money???Well let me help with that. Yes it's worth the money.It's a souls-like game despite it not having that tag on the steam store page. It plays similar to Jedi Fallen Order or God of War or Darksiders. It's a linear action game where if you die you go back to a resting point. If you rest at said resting point all enemies respawn as does your healing items. However unlike Dark Souls or Elden Ring you don't lose experience points, money or items when you die.But yes, the production value in this game is off the charts. It looks even more beautiful then it does on the steam store page. It sounds beautiful too. The gameplay is also fun, fluid and engaging. There's so much done right about this game that I hate to talk about whats wrong with it.For instance the tutorial is severely lacking. Barely teaches you anything. Or how there's little to no direction in the game. Unless i'm severely missing something. But After the first hour I was absolutely, completely. 100 percent lost. No idea where to go or what to do. The game is lacking in direction in pretty much every single definition of the word and I actually hate that.But if you can find your own way, don't mind really hard games and don't mind a character with no character or a plot with no plot then this game does everything else 110 percent perfect.So let that be your deciding factor I guess. I mean 60 dollars is still a lot of money, just know what you're getting into. But if this genre is what you're looking for then it's worth the money.If you'd like a more in-depth look at the game and what not feel free to check out my review on my YouTube Channel (link below).Otherwise, thanks so much for reading and I hope I managed to help some of you out there spend your money wisely."
Positive,"This is what peak gaming looks like ladies and gentlemen... Remember, Reject humanity, embrace Monke!"
Positive,"The game devs have said many times this is not a souls-like, I corrected people many times to tell them it is not a souls-like. Turns out that yeah, I think it is very much a souls-like. Right off I think this is going to create a problem for a lot of buyers who likely were expecting an ""action RPG"" as while it certainly does have some of those characteristics, make no mistake, this is a very difficult game at times. The combat is definitely souls inspired though it is quite unique in some ways, as there is effectively no base blocking mechanic but rather you basically build up energy to unleash heavier attacks and you can do so via dodging perfectly or many basic hits on an enemy (to put it simply). At first as a souls enjoyer I struggled to understand what they were expecting and the combat initially felt clumsy and not at all tight. But once you lock in and start learning how to perfectly dodge, there is nothing more satisfying than pulling off multiple perfect dodges back to back, with a very satisfying audio and visual effect to indicate you did pull off a perfect dodge. But it took me hours of dying to the first 'boss' (Wandering Wight) to finally realise the combat is fast, punishing but immensely satisfying and I think that is being overlooked with all the drama surrounding the game. That being said, I would have loved a ranged option to deal with the very annoying archers that appear regularly and for a monkey man, he seems to have a distinct lack of climbing ability which seems a bit oddOn that note, we all probably know the premise of the story and it is presented beautifully, if slightly confusing if you are unfamiliar with the source material. The Chinese mythological setting of the game is not something I have played in often if at all, so it makes for an interesting and original setting for me and the fact it is absolutely beautiful and atmospheric is just icing on the cake here. They have created some full AAA quality cutscenes to move along telling the story and they feel not unlike the grand cutscenes in God of War in scope and quality, they really have done a great job here in my opinion. The world is absolutely beautiful with a very distinct Unreal 5 look to it, though it is very linear with some limited exploration to be had but you will often find an invisible wall stopping you from venturing off the trail and they maybe could have been a bit more creative with how they keep you in the limits of the map without just straight up invisible walls but for me this is just a minor complaint. Sound is great and of course the graphics are stunning, though of course with the caveat that this is an Unreal 5 game and it uses all the latest visual fluff, so don't think you're going to max this out on your GTX 1050 and have good time. But it scales well and if you follow guides like the Hardware Unboxed optimisation guide you should be able to get it running well on very modest hardware. In summary I think this is one game that surprisingly lived up to the hype, while it isn't perfect I think overall these guys have done an amazing job for their first big release and it could very well end up being one of the top games of this year. I think a big thing to understand as a potential buyer going into this game, is that it is VERY difficult at times and this I am sure is going to catch a lot of people out as an unpleasant surprise."
Positive,"This game is based on the novel Journey to the West. Sun Wukong is the main protagonist of that journey, and I would advise watching some summary before playing the game, to understand how insane he is and what he did. He was also an inspiration for Goku. I didn't tag this game as Souls-like because I don't think it is. When you die, you don't lose ""souls"". Lore is way more detailed and not as hidden as in Souls games where you need to read item descriptions and listen to NPCs. Here most of the lore is found by just killing new enemies which unlock new entry in the journal. There are no stats like strength, dexterity etc. instead you have skill trees with so many things to upgrade. Also if you explore everything this game will be easier than Souls games most of the time. Black Myth: Wukong is the game on its own, the epic game for itself.The first thing you can notice when you start this game is that in only a few seconds you are greeted by some colossal beings. I was amazed as soon as the game started, and the prologue itself is absolutely incredible. Slight spoiler, but in prologue you play as Sun Wukong, and after that game is divided into 6 chapters, where you are playing as Destined One years later trying to ""wake up"" Sun Wukong. Every time you kill a new enemy you will get some journal entry, which is a short story which has references to the Chinese folklore or Journey to the West, and reading these stories is necessary to understand the story. Sometimes I had to google, because the names were not explained. These stories are also usually very interesting, but there are so many of them so I would advise on reading them as soon as you get them, cause they can pile up. There are around 200 in total and some of them are connected where story continues from one entry to another.The story itself is pretty interesting, and there are a lot of amazing cutscenes. Each of the first 5 chapters features a new story set in some new world. Each of these chapters has some main ""villain"" that you need to beat to get the rune.When I first started playing this game, after overwhelming prologue, chapter 1 felt a bit rushed and kinda underwhelming, because if you don't read those journal entries the whole chapter will feel like the boss rush, but after some time I started liking it. Chapter 2 is definitely way bigger and opens way more, however it's a big desert, so it can get tiring. Chapter 3 is where things got very interesting and very confusing, because it is so big, and it branches so much. At first it felt okay, but then I reached a big forest with snow everywhere, and everything looked similar, you could go anywhere, like in 15 directions. Thankfully with those journal entries you can see if you missed something. And when I was done with this forest there was some temple area, which as well was really really big, and had so much going on, that the whole chapter was very confusing, even though it was very interesting story-wise. It is also the longest chapter in the game. Chapter 4 is also very long and it is probably one of the best when it comes to story, but it is a bit gloomy. Chapter 5 was kinda short, and it was mostly fighting bosses, but it was as well a pretty interesting chapter with interesting story line. Chapter 6 is very different from all other chapters, you are just going around and searching for some bosses, trying to find some items before fighting the final boss.The first 5 chapters also feature secret areas which I would advise beating, since most of the time they will make the end boss of the chapter much easier with some new item that you got, and they are also very interesting. The game also features 2 endings, and to get true ending you will need to beat all these secret areas.Throughout the game there are so many bosses and mini-bosses to beat, I think I have beaten over 100 of them, but I definitely beat them all since I got all journal entries in the game. Most of these bosses took me few tries most, and a lot of them can actually be considered mini-bosses, and those mini-bosses sometimes leave spirits which you can collect and summon later while fighting. It can be a bit overwhelming to fight bosses all the time, but eventually I got used to it, and since I mostly beat them all on first or second try, it felt like fighting regular enemies eventually. The problem with fighting so many bosses is that rarely any boss will be memorable. If you explore everything and you are ""good"" at Souls games you will not have problems with this game. Only one boss in this game which is necessary to beat to get true ending took me a lot of tries, I think I needed a few hours. Boss is so epic and hard, and in my personal experience it's 2nd hardest boss from all bosses I've ever fought including all Souls games.Combat is just incredible, it's so fun, one of the best I have seen. Destined One is wielding staff so fast, and he is so fast that you can just dodge anything and you need to dodge all the time. You also need to make the best use of spells that you get through the game. One spell will let you freeze the enemy for few seconds. One spell will make duplicates of you for few seconds which help you fight. I mentioned already that you will be able to call spirits, and you will also be able to transform. Transformations regenerate over time, as well as spirits (when you fight you get KI which regenerates spirits), but spells cost mana, and until you rest again at shrine you will not get mana back, so prepare to become good with your staff. Overall combat is just amazing, incredibly fun.In addition to combat, there are shrines on which you can rest, fast travel etc., and while fighting you earn skill points which you can use to upgrade your abilities. You can also restart these abilities at any point on any shrine. You can travel from chapter to chapter at any point in the story. You can also craft armor and staff that you get from fighting bosses, and use some items to help you make game easier.Game took me around ~65h to beat all bosses, get all journal entries and get most of the achievements. You can't get all achievements in the first run, so you must play ng+ for the rest of them, however ng+ is pretty easy. Only problem is that some achievements require farming. There aren't many NPCs side quests, but there a lot of characters. Performance wise a lot of people complain, and I also had issues which I fixed by using FSR instead of DLSS and frame generation on. I managed to get my game running completelly smooth, stutter free, but I had insane stutter at first.- One of the best openings in the games I've ever seen- Incredibly fun combat- Journal entries are so interesting- Cutscenes are amazing- Most bosses are unique, and there are many good bosses- Pretty good story and everything about Sun Wukong is so interesting- Chapter 3 can be a bit confusing to explore, it can feel like it's easy to miss stuff, but on the other hand chapter itself is really interesting- Chapter 6 introduces new ability, but it also feels so random, just searching for bosses- Having to search the internet for explanation of some characters that are not in the game Just an incredible game, my personal GOTY of the 2024 so far, and of the best and most fun games I've ever played. I liked it so much that I ordered The Journey to the West books. This is definitely one of the best games I've ever played and one of my new favorite games, and I felt so overwhelmed when I finished it. I would advise getting true ending, cause it's worth it. If chapters 3 and 6 had a bit better design I would consider this game a masterpiece, but it's really close.Note: This explains how I rate games in my reviews. https://imgur.com/s7VB3Vj"
Positive,"The game itself is nothing unique, but its done so well that it feels like it is. I was having fun with the game right away, but really when i hit chapter 2 i was freaking hooked. Something about the lore, the story telling, the relatively deep RPG elements, the combat - it just feels so damn fun to play. Im half way through the game at the time of writing this review, but its just so much fun i had to add to the good vibes online for the game. THAT being said, does it drive anyone else crazy that the game doesn't have any terrain climbing mechanics? I know thats typical for a ""souls like"" game, but dude COME ON you are a Monkey king and you cant even climb a rock or a tree?!? - maybe in the sequel lol"
Positive,the game is huge! and the cool part is the fact that you get the feeling the game is not ending anytime soon! make sure to explore the entire region fully and listen to all the npc cuz its important everyone has role! that might give you skill/armor/key item etc... and i will 100% recommend players who played elden ring/sekiro/soul games to play this game! it was amazing and i cant wait for them to add more things in game with dlc and etc
Positive,---{ Graphics }---🔲 Awful🔲 Bad🔲 Will do🔲 Decent (Nothing special)🔲 Stunning✅ Visual Masterpiece---{ Gameplay }---🔲 Bad🔲 Okay🔲 Nothing special🔲 Good🔲 Very good✅ Try not to get addicted---{ Audio }---🔲 Bad🔲 Not too bad🔲 Decent🔲 Good🔲 Beautiful✅ Masterpiece---{ PC Requirements }---🔲 Potato🔲 Decent🔲 Fast✅ High-end PC🔲 Ask NASA if they have a spare computer---{ Difficulty }---🔲 Just press a bunch of buttons🔲 Easy🔲 Significant brain usage🔲 Easy to learn / Hard to master🔲 Difficult✅ Dark Souls---{ Grind }---🔲 Nothing✅ Only if you care about 100%✅ Average grind level🔲 Too much grind🔲 Insanity---{ Story }---🔲 None/Not important in this game🔲 Bad🔲 Average🔲 Great✅ Well written🔲 One of the best i've had the pleasure of playing---{ Price }---🔲 Free🔲 Cheap🔲 Under priced✅ Acceptable price🔲 Overpriced🔲 Complete waste of money---{ Bugs }---🔲 Never heard of✅ Minor bugs🔲 Can get annoying🔲 Bugpocalypse: Proceed with caution---{ Length }---🔲 Very Short (0 - 4 hours)🔲 Short (4 - 10 hours)🔲 Average (10-30 hours)✅ Long (30-50 hours)🔲 Extremely long (50-100+ hours)✅ For 100%: 71 hours🔲 No ending---{ ? / 10 }---🔲 1🔲 2🔲 3🔲 4🔲 5🔲 6🔲 7🔲 8🔲 9✅ 10
Positive,"For the last couple of weeks, I've been brushing up on my Journey to the West knowledge, not least because of its obvious surge in relevance, but also its status as one of the most influential written works of all time, its presence inescapable across a whole host of modern media. From its episodic, monster-of-the-week structure to the rambunctious and hilariously overpowered Sun Wukong, it might as well be the original shonen anime and, the more I read, the more impossible its massive reach becomes to ignore.Game Science's take on the classic novel is not the typical homage or adaptation, but rather something of a follow-up, opening with the Monkey King, wholly disinterested in the Buddhahood awarded to him at the end of the titular journey, clashing in the clouds with the forces of Heaven, themselves quite unable to trust the innocence in the chronically mischievous Wukong's return to a simple, earthly life. Overwhelmed and stricken down, you pick up some five hundred years later as the Destined One, an auspicious monkey tasked with retrieving the scattered relics of the defeated Great Sage, their unification capable of returning him once more to the land of the living.It's something of a retelling, too, with each of the six largely stand-alone chapters transporting the Destined One to destinations from the original journey, complete with their assorted villains and supporting casts. It's an approach those intimately familiar with the source material will no doubt appreciate; however, it's a narrative heavily reliant on pre-existing knowledge of those destinations, villains and supporting casts and, in tandem with a frustrating aversion to almost all forms of exposition, subtle or otherwise, I seriously struggle to see those new to Chinese myth following anything but the broadest strokes.Myself included, to an extent (the version of the book I'm familiar with isn't a complete translation), yet the less I understood, the more I realised how little it ultimately mattered. Each chapter concludes with an unbelievably gorgeous and expertly scored five or so-minute animation rendered in an entirely different style and format than the last, and while I won't hesitate to admit a fair amount of the little details and references soared cleanly over my head, the passion, care and unwavering reverence for the source material is utterly unmistakeable. Coupled with meticulous, striking enemy design and truly breathtaking scenery, there's a profound artistry in every corner of Black Myth's composition, so much more than just a plot to get wrapped up in, and any concerns of missing context quickly fall by the wayside.These days, it's hard to find a single third-person action game that doesn't in some way fall victim to the soulslike allegations, and Black Myth is no exception, the bulk of critics veritably frothing at the mouth at the slightest possibility something might be treading even a fraction of Miyazaki's illustrious path. However, with a stark emphasis on combo building, active abilities and a gargantuan skill tree, the Destined One's moveset strikes me as much more Nioh (another soulslike, I know, despite its combat being anything but) than anything else, with much of the feel of modern God of War and all the style of character action.It's a lot more empowering than the typical Souls model, too: among the smattering of spells you'll eventually get your monkey paws on, one of the early ones is functionally little more than a simple evade and counter, but the dramatic swoosh of the initial dodge, the blinding speed of the re-engage, and the punchy slow-mo of the following punish result in a move far more thrilling than any basic description might suggest. The rest of the kit is similarly flamboyant; you're generally stuck with just the Monkey King's classic staff throughout, but you've got a few different stances switching up its heavy attack, each making full and bombastic use of the weapon's iconic shape-shifting capabilities.Alongside an almost gratuitously twirly light attack combo culminating in a powerful overhead slam, rounding out the Destined One's combat prowess are the yaoguai transfigurations: one an equipable spirit allowing you to take the form of a fallen foe just long enough to bust out their signature move, the other a considerably more rare, complete transformation, equipped with a full moveset, a separate health bar, and lasting a fair bit longer than the spiritual counterpart.All told, you're left with a fast, meaty, and strategic combat model defined by a vast arsenal of abilities, all capable of turning the tide of battle in an instant and tested in a tremendous variety of boss encounters. While a few too many of these epic clashes have a bad habit of prioritising spectacle over clarity, these battles are otherwise brilliantly designed, creatively rich, and the centrepiece of the Black Myth experience, an almost always entirely unique encounter around every corner.Of course, with combat this tight and inherently well-designed, the cracks are increasingly more obvious; in this case, unfortunately, a myriad of technical shortcomings. Between strikes not tracking properly, bosses launching entire combos in entirely the wrong direction, the camera completely losing its mind, bizarre hitboxes, and a whole smorgasbord of other smaller issues, It's tough to recall a single major fight that wasn't at least slightly soured by one of my big attacks randomly whiffing at a crucial moment or a spell failing to work as intended, yet still going on a lengthy cooldown regardless.There's no immunity to dubious design, either, particularly progression-side: most of the skill tree is superb, offering just about every improvement you could ever want for every aspect of the Destined One's moveset; however, you'll also find the bulk of your base stat increases taking all the same space, and the ensuing tug of war is a real early-game pain, your limited skill points forced not into what you want more, but rather what you can live without. Armour sets are equally questionable, boasting incredibly specific, build-defining set bonuses, but no way to upgrade and bring them with you until at least halfway through the game for no good reason.It's a similar story with exploration: between the visual splendour, the open, sweeping level design, and all the secrets and hidden nooks, it leaves quite the first impression, but the longer you spend in these spaces, the trickier it becomes to overlook their weaknesses, crude invisible walls everywhere you look, even more completely harmless yet agonisingly spongy enemies, all underpinned by a bizarre, stifling lack of a map. The main draw is ultimately the generally excellent range of optional side content—tonnes of extra bosses, little quests unlocking a new vendor or spell, and an utterly spellbinding secret ending, to name a few. They're sometimes a little too cryptic for their own good, but they're all very worth your time; each chapter has one chunkier side quest culminating in a whole additional sub-area and often a Vessel, an equipable active item primarily designed to counter the same chapter's final boss in immensely satisfying fashion.While I'm certainly painting a somewhat less euphoric picture than many of the other writings in this here review section, Black Myth Wukong's electrifying combat, its larger-than-life boss encounters, and the unbridled passion from the team behind it make for a title I strongly recommend.Follow our Curator page, Summit Reviews, to see more high quality reviews regularly."
Positive,"There is exactly zero chance this is the review that makes you buy this game considering there are a quarter-million similar endorsements, but: This game definitely goes on the top games of all time list...right near the top alongside Witcher Wild Hunt, BG3. and Ghost of Tsushima.  It isn't ""perfect in every way""; but what it does well, it does better than most before it and resets several bars in terms of expectations for games going forward.  Its graphics, its fluidity in movement; its animations; its level design; its bosses...all top-notch.  It is absolutely NOT a souls-like.  It has a few elements of what makes soulslikes great; but leaves out the frustrating parts. It acknowledges that it is already a tough game and doesn't further burden the player with the tedious punishments that some of us souls-like-fatigued have become accustomed to tolerating:- No hunting down souls dropped- No min/maxing builds based on a subset of weapon types- fewer punishing second-phase fightsMay seem like a short list, but the lack of that ""Holy crap, I hate this game...I can't believe I just grinded through this entire level for the past hour only to get one-shotted and lost all my progress"" feeling.As many other players have noted, this game is far closer to GOW.  My favorite description I read so far was: ""It's like God Of War, Ghost of Tsushima, and Elden Ring had a threesome and nobody knows who the father is.""Cons (short list):- invisible walls are especially noticeable in the first chapter.  Annoying to see something that looks like a cave, but hit an invisible wall five feet in front of it.- A noticeable halo effect caused by what appears to be post-processing setting. Toning that down made a good improvement.- some heavy granular effects by what I assume is some graphics setting in either post-processing.- Not sure if the ""FSR"" is FSR3...also, we can't completely turn off the FSR/DLSS apparently...it looks like we can only set it to quality and up the resolution limit to 100%.  It would be nice to be able to turn it off; even if it is only for a comparison.  But aside from those very minor nitpicks, this game is an all-time-top-tier-absolutely fabulous game and I HOPE MAJOR GAME STUDIOS WILL SEE HOW SUCCESSFUL THIS IS AND FOLLOW THEIR LEAD!!!More of this type of game: Complete; functional on launch; great writing; great characters; outstanding graphics and gameplay...NO MICROTRANSACTIONS...Buy it. It is worth it and then some."
Positive,"Absolute banger. Challenging boss fights, incredible music, beautiful art. Only downside is I wish there’s a in game map, I get lost all the time and lost track of where I’m supposed to go."
Positive,Reject humanity; embrace Monke.中国第一‎
Positive,"For me, this is one of the best games in history! This game is proof that a project doesn't need battle passes, paid cosmetics, or in-game shops to be successful. This is probably one of the most passionate games released in the past decade; the creativity and attention to detail are absolutely insane.Starting with one of the top selling points: the graphics. The graphics are absolutely absurd; Unreal Engine 5 is the best-looking engine on the market as of 2024, and this game makes very good use of it. Yes, using UE5 means that the game sometimes has some high optimization problems, although they're minor compared to other UE5 titles released recently.The combat and enemy variety in this game are simply absurd. Elden Ring is an amazing game, and even a game of that caliber still struggles to keep up with this game variety-wise. Every single enemy in this game is unique and original, with highly detailed models and movesets; there's only a very small amount of reused assets among the enemies and bosses. Some of the boss fights are creative enough to make your jaw drop. The game has a lot of different skills and movesets, transformations, and items to make the combat feel unique in each encounter. Although I gotta admit that I wish it had more spells.The biggest problem with this game compared to other action games is definitely the limitations on exploration of the map. This game has an absurd amount of invisible walls and limitations on the terrain blocking exploration, sometimes even on clear paths that look like they'd be explorable otherwise. And this is the reason i'm not giving this game a 10/10.The soundtrack fits very well with the theme of the game; the OSTs are magical and epic. Each chapter has an animation at the end with different art styles and music, with different stories and meanings. For a person who is not used to the main theme portrayed in this game, it's a magical experience for sure...I would definitely recommend this game to anyone interested in Chinese folklore and mythology. The story is amazing; I was totally unfamiliar with anything related to this theme, and after playing it, I gotta say I really want to know more about the general theme and meaning behind these stories.I genuinely believe this game will be remembered throughout the years as one of the most passionate and successful projects in gaming history."
Positive,"Story, gameplay, music, graphics... just awesome! Didin't expect to see such a good game these days anymore.  I love it. Truly a masterpiece!"
Positive,This game is about ape
